KEY,FREQ,REF_AREA,ADJUSTMENT,FVC_REP_SECTOR,FVC_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,FVC_ORI_SECTOR,CURRENCY_TRANS,BS_SUFFIX
FVC.Q.IT.N.R.A30.A.4.U2.2000.ZZ.Z01.E,Q,IT,N,R,A30,A,4,U2,2000,ZZ,Z01,E
FVC.Q.IT.N.F.A10.A.4.U5.2271.ZZ.Z01.E,Q,IT,N,F,A10,A,4,U5,2271,ZZ,Z01,E
FVC.Q.IT.N.F.A10.A.4.U6.2271.ZZ.Z01.E,Q,IT,N,F,A10,A,4,U6,2271,ZZ,Z01,E
FVC.Q.U2.N.R.A30.A.1.U2.0000.ZZ.Z01.E,Q,U2,N,R,A30,A,1,U2,0000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.A.1.U2.1000.ZZ.Z01.E,Q,U2,N,R,A30,A,1,U2,1000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.A.4.A1.0000.ZZ.Z01.E,Q,U2,N,R,A30,A,4,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.A.4.U2.2000.ZZ.Z01.E,Q,U2,N,R,A30,A,4,U2,2000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.A.4.U4.0000.ZZ.Z01.E,Q,U2,N,R,A30,A,4,U4,0000,ZZ,Z01,E
FVC.Q.U2.N.R.A30.F.1.U2.2271.ZZ.Z01.E,Q,U2,N,R,A30,F,1,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.F.A10.F.1.U2.2271.ZZ.Z01.E,Q,IT,N,F,A10,F,1,U2,2271,ZZ,Z01,E
FVC.Q.IT.N.F.A10.F.4.U4.00NB.ZZ.Z01.E,Q,IT,N,F,A10,F,4,U4,00NB,ZZ,Z01,E
FVC.Q.IT.N.F.A10.K.1.U5.1000.ZZ.Z01.E,Q,IT,N,F,A10,K,1,U5,1000,ZZ,Z01,E
FVC.Q.IT.N.F.A10.K.4.U6.1000.ZZ.Z01.E,Q,IT,N,F,A10,K,4,U6,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.A.1.U5.1000.ZZ.Z01.E,Q,U2,N,T,A30,A,1,U5,1000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.A.1.U6.2000.ZZ.Z01.E,Q,U2,N,T,A30,A,1,U6,2000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.A.4.A1.0000.ZZ.Z01.E,Q,U2,N,T,A30,A,4,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.F.1.A1.0000.ZZ.Z01.E,Q,U2,N,T,A30,F,1,A1,0000,ZZ,Z01,E
FVC.Q.U2.N.T.A30.F.1.U2.0000.ZZ.Z01.E,Q,U2,N,T,A30,F,1,U2,0000,ZZ,Z01,E
FVC.Q.LU.N.O.A20.A.4.U2.2250.E1.Z01.E,Q,LU,N,O,A20,A,4,U2,2250,E1,Z01,E
FVC.Q.LU.N.O.L20.A.4.A1.0000.ZZ.Z01.E,Q,LU,N,O,L20,A,4,A1,0000,ZZ,Z01,E
FVC.Q.LU.N.R.A10.F.4.U2.2271.ZZ.Z01.E,Q,LU,N,R,A10,F,4,U2,2271,ZZ,Z01,E
FVC.Q.LU.N.R.A10.K.4.U2.1000.ZZ.Z01.E,Q,LU,N,R,A10,K,4,U2,1000,ZZ,Z01,E
